"Index","Category","Question","Truth","Decision","DecisionCorrect","YesProbability","NoProbability","Confidence","Margin","TemplateMs","DecisionMs","DecisionTotalMs","Chat","ChatCorrect","ChatMs","ChatTokens","Agree"
"45","negation","Is it not true that the chemical formula for water is H2O?","no","no","True","0,01725","0,98275","0,98275","0,965501","1,33","30","31,33","no","True","652,51","140","True"
"46","negation","Is the statement 'Earth does not orbit the Sun' false?","yes","yes","True","0,969349","0,030651","0,969349","0,938699","1,03","29,72","30,74","yes","True","462,26","96","True"
"47","negation","Would the statement '10 is not greater than 3' be false?","yes","yes","True","0,799333","0,200667","0,799333","0,598666","0,94","29,62","30,56","yes","True","505,14","106","True"
"48","negation","Is it false that zero is an even integer?","no","no","True","0,168458","0,831542","0,831542","0,663084","0,96","29,43","30,39","no","True","606,26","129","True"
"49","negation","Is the statement 'there are no even prime numbers' true?","no","no","True","0,028516","0,971484","0,971484","0,942967","0,93","29,49","30,42","no","True","429,44","88","True"
"50","negation","Is it not the case that 1 is prime?","yes","no","False","0,408367","0,591633","0,591633","0,183267","1","29,52","30,52","yes","True","611,32","131","False"
"51","negation","Is it false that a triangle has three sides?","no","no","True","0,081644","0,918356","0,918356","0,836712","0,92","29,33","30,25","no","True","413,27","83","True"
"52","negation","Is the statement 'the Moon is not a natural satellite of Earth' false?","yes","yes","True","0,816211","0,183789","0,816211","0,632422","0,9","29,56","30,46","yes","True","615,2","128","True"
"53","negation","Is it not true that 5 plus 5 equals 10?","no","no","True","0,001914","0,998086","0,998086","0,996172","1,1","29,93","31,03","no","True","719,46","151","True"
"54","negation","Is it false that 100 is divisible by 10?","no","no","True","0,128853","0,871147","0,871147","0,742294","1,08","30,44","31,51","no","True","749,61","154","True"
"55","negation","Is the statement 'Venus is not a planet' true?","no","no","True","0,027215","0,972785","0,972785","0,94557","1,04","29,69","30,73","no","True","544,41","111","True"
"56","negation","Is it not the case that oxygen is a chemical element?","no","no","True","0,003548","0,996452","0,996452","0,992904","0,92","29,38","30,3","no","True","773,78","164","True"
"57","negation","Is it false that binary 10 equals decimal 2?","no","no","True","0,437555","0,562445","0,562445","0,12489","1,07","30,18","31,25","no","True","605,97","126","True"
"58","negation","Is the statement 'an hour does not contain 60 minutes' false?","yes","yes","True","0,740313","0,259687","0,740313","0,480625","1,03","29,72","30,75","yes","True","553,95","116","True"
"59","negation","Is it not true that 3 is less than 4?","no","no","True","0,099062","0,900938","0,900938","0,801876","0,99","29,72","30,71","no","True","773,67","168","True"
"60","negation","Is it false that a right angle measures 90 degrees?","no","no","True","0,131812","0,868188","0,868188","0,736377","1,21","29,86","31,07","no","True","979,38","215","True"
"61","commonsense","Can a typical adult human breathe underwater unaided?","no","no","True","3E-06","0,999997","0,999997","0,999995","1,11","29,81","30,92","no","True","276,35","52","True"
"62","commonsense","Under ordinary conditions, is ice colder than boiling water?","yes","yes","True","0,611999","0,388001","0,611999","0,223997","0,88","29,42","30,3","yes","True","387,78","78","True"
"63","commonsense","Can a paper book burn?","yes","yes","True","0,989558","0,010442","0,989558","0,979115","1,01","28,76","29,77","yes","True","230,41","42","True"
"64","commonsense","Can one ordinary person be physically present in Paris and London at exactly the same moment?","no","no","True","0,015671","0,984329","0,984329","0,968658","0,94","29,52","30,46","no","True","376,23","75","True"
"65","commonsense","Near Earth's surface, does an unsupported dropped object normally fall downward?","yes","yes","True","0,994794","0,005206","0,994794","0,989588","1,01","29,61","30,62","yes","True","386,08","78","True"
"66","commonsense","Can an ordinary drinking glass hold liquid?","yes","yes","True","0,990702","0,009298","0,990702","0,981404","1,19","29,32","30,5","yes","True","245,96","44","True"
"67","commonsense","Is the inside of a normally operating refrigerator usually warmer than the surrounding room?","no","no","True","0,319801","0,680199","0,680199","0,360399","1,05","29,28","30,33","no","True","326,76","64","True"
"68","commonsense","Will a parked car at rest spontaneously accelerate without any force acting on it?","no","no","True","0,001069","0,998931","0,998931","0,997863","1,03","30,11","31,14","no","True","332,33","64","True"
"69","commonsense","Can wearing a coat in cold weather reduce heat loss from the body?","yes","yes","True","0,999958","4,2E-05","0,999958","0,999915","0,85","29,4","30,25","yes","True","303,49","56","True"
"70","commonsense","Can a metal spoon left in hot soup become hot?","yes","yes","True","0,990214","0,009786","0,990214","0,980427","1,08","29,47","30,55","yes","True","344,72","64","True"
"71","commonsense","Can an ice cube placed in a warm room melt?","yes","yes","True","0,99604","0,00396","0,99604","0,992081","1,17","29,44","30,62","yes","True","339,37","64","True"
"72","commonsense","Does a human need oxygen to survive for long periods?","yes","yes","True","0,997928","0,002072","0,997928","0,995856","1,01","29,39","30,4","yes","True","292,29","53","True"
"73","commonsense","Can a dry towel absorb water?","yes","no","False","0,309478","0,690522","0,690522","0,381044","0,95","29,1","30,05","yes","True","297,05","55","False"
"74","commonsense","Will an unplugged incandescent light bulb emit light indefinitely?","no","no","True","0,000532","0,999468","0,999468","0,998937","0,84","29,37","30,22","no","True","352,7","68","True"
"75","commonsense","Can a typical pencil write without touching any surface?","no","no","True","0,01707","0,98293","0,98293","0,96586","0,98","29,5","30,49","no","True","407,3","79","True"
"76","commonsense","Can a person normally see clearly through an opaque wall with unaided eyes?","no","no","True","1,9E-05","0,999981","0,999981","0,999962","1,04","29,64","30,68","no","True","337,52","63","True"
"77","commonsense","Can sound travel through air?","yes","yes","True","0,994921","0,005079","0,994921","0,989842","0,91","28,96","29,87","yes","True","243,67","43","True"
"78","commonsense","Can ordinary sound waves propagate through a perfect vacuum?","no","no","True","0,000153","0,999847","0,999847","0,999693","0,96","29,61","30,57","no","True","304,37","57","True"
"79","commonsense","Does an empty sealed glass bottle weigh exactly zero?","no","no","True","0,000502","0,999498","0,999498","0,998996","0,92","29,81","30,74","no","True","322,1","63","True"
"80","commonsense","Under the same conditions, does a heavier object require more force than a lighter one to achieve the same acceleration?","yes","yes","True","0,833094","0,166906","0,833094","0,666188","0,89","30,32","31,21","yes","True","374,25","75","True"
"81","technical","Does DNA use uracil as one of its four standard bases?","no","no","True","3,2E-05","0,999968","0,999968","0,999935","1,03","29,31","30,33","no","True","349,92","69","True"
"82","technical","Does RNA typically use uracil?","yes","yes","True","0,99645","0,00355","0,99645","0,992899","1,03","29,1","30,13","yes","True","304,27","59","True"
"83","technical","Does light travel faster in vacuum than sound travels through air?","yes","yes","True","0,999966","3,4E-05","0,999966","0,999932","1,03","29,59","30,62","yes","True","284","54","True"
"84","technical","Do electrons have negative electric charge?","yes","yes","True","0,999628","0,000372","0,999628","0,999257","1,01","29,51","30,52","yes","True","234,63","43","True"
"85","technical","Do neutrons have positive electric charge?","no","no","True","0,000197","0,999803","0,999803","0,999605","0,8","29,27","30,07","no","True","243,56","45","True"
"86","technical","Is Mercury the closest planet to the Sun?","yes","yes","True","0,964538","0,035462","0,964538","0,929076","0,89","29,28","30,18","yes","True","261,36","49","True"
"87","technical","Is Venus the hottest planet in the Solar System by average surface temperature?","yes","yes","True","0,881686","0,118314","0,881686","0,763372","0,93","29,77","30,7","yes","True","331,21","65","True"
"88","technical","Is Jupiter more massive than Earth?","yes","yes","True","0,999992","8E-06","0,999992","0,999984","0,93","29,13","30,07","yes","True","236,63","43","True"
"89","technical","Was Python publicly released before Java?","yes","no","False","0,495002","0,504998","0,504998","0,009996","1,06","28,89","29,95","yes","True","494,1","103","False"
"90","technical","Is the C programming language older than Python?","yes","yes","True","0,997512","0,002488","0,997512","0,995024","0,91","29,29","30,21","yes","True","415,91","84","True"
"91","technical","Is HTTP primarily an application-layer protocol?","yes","yes","True","0,998022","0,001978","0,998022","0,996044","0,92","29,07","29,98","yes","True","314,41","59","True"
"92","technical","Does TCP provide an ordered reliable byte stream?","yes","yes","True","0,999936","6,4E-05","0,999936","0,999872","0,92","29,48","30,4","yes","True","276,04","50","True"
"93","technical","Does UDP guarantee delivery of every packet?","no","no","True","2,6E-05","0,999974","0,999974","0,999948","1,14","29,13","30,26","no","True","292,1","55","True"
"94","technical","Does SHA-256 produce a 256-bit digest?","yes","yes","True","0,999726","0,000274","0,999726","0,999452","0,97","29,63","30,6","yes","True","293,88","53","True"
"95","technical","Is an IPv4 address 32 bits long?","yes","yes","True","0,999872","0,000128","0,999872","0,999743","1","29,2","30,2","yes","True","252,97","46","True"
"96","technical","Is an IPv6 address 64 bits long?","no","no","True","0,006927","0,993073","0,993073","0,986147","0,89","29,22","30,11","no","True","293,47","54","True"
"97","technical","Is Git a distributed version control system?","yes","yes","True","0,999949","5,1E-05","0,999949","0,999898","1","28,83","29,83","yes","True","265,05","47","True"
"98","technical","Is CSS primarily a language for querying relational databases?","no","no","True","3,8E-05","0,999962","0,999962","0,999924","0,91","29,07","29,98","no","True","324,46","63","True"
"99","technical","Does ordinary volatile RAM retain its contents after power is removed?","no","no","True","6,6E-05","0,999934","0,999934","0,999869","0,97","29,76","30,73","no","True","332,98","63","True"
"100","technical","Does binary 1010 represent decimal 10?","yes","no","False","0,033209","0,966791","0,966791","0,933582","1,15","30,37","31,52","yes","True","264,39","47","False"
